0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
77.0096,77.0400,78.1657,46.3452,25.9222,77.7325,25.6766,72.4029,71.0385,-26.3984,28.2301,31.3114,0.0700,15.3599,15.6200,14.8700,15.2800,12.0104,92821400,0.0000,1.0000
33.3241,33.1850,33.3752,22.5569,25.8260,33.1708,77.5979,75.2224,62.9133,-11.8056,33.7900,22.3547,4.8800,49.5200,50.4700,49.5068,50.3900,47.8352,31188605,0.0000,1.0000
52.7736,52.9367,52.6167,19.7188,97.1219,52.8233,33.4462,164.0274,74.2749,-99.2424,39.2557,28.8438,1.3900,25.3300,25.8300,25.3100,25.5100,18.9046,54511400,0.0000,1.0000
46.1359,46.0600,46.0529,109.4877,63.8916,46.1208,52.9025,46.0397,48.8368,-52.4752,19.6099,22.9809,1.0300,30.6900,31.5400,30.6900,31.1600,26.2550,43459300,0.0000,1.0000
26.9765,26.9800,27.0529,25.9620,26.3077,27.0158,46.2940,108.4763,41.5962,-9.8361,52.9270,37.7403,-0.9000,34.5800,34.6000,34.1400,34.3500,30.0240,25318500,0.0000,1.0000
16.0184,15.9425,15.8214,79.4549,46.3284,15.9808,26.7577,80.7773,71.1938,-75.1515,65.3193,27.6612,0.7900,62.1400,62.2400,61.0500,61.2200,20.0294,25909800,0.0000,1.0000
50.2260,50.3050,49.9267,33.5926,22.5870,50.1350,15.9183,59.8529,12.8203,-55.5184,58.2394,30.0689,-1.6901,110.3100,112.0000,110.0000,110.3700,18.0550,6579800,0.0000,1.0000
25.5512,25.6383,25.5367,52.3650,19.7355,25.6483,50.2684,25.9976,21.0508,-72.2222,32.4022,38.9179,-2.5000,44.2100,44.4000,42.9100,43.0700,40.0408,33469485,0.0000,1.0000
30.8365,30.7283,30.6424,45.9590,108.6351,30.6058,25.5776,35.8824,29.4897,-27.8912,18.7557,24.1135,-0.5000,167.0000,171.8100,163.1300,171.2500,28.0141,20658600,0.0000,1.0000
34.3171,34.3067,34.2924,27.1804,25.8921,34.1750,30.7127,25.0916,37.6523,-45.4223,27.6816,45.5361,-1.1900,18.5400,18.7600,18.2650,18.7600,14.7457,47476100,0.0000,1.0000
62.4022,62.9250,62.6086,15.4664,79.4965,62.9433,34.3181,18.1028,57.0386,-95.6962,44.8421,66.5324,0.2000,41.9100,41.9900,41.5600,41.8000,37.6131,15969300,0.0000,1.0000
109.3944,109.1950,110.1871,49.5343,33.7283,109.9083,62.9469,30.6519,51.5719,-24.4103,71.2963,53.2201,-0.7700,173.0600,180.0600,172.5000,179.9400,29.4356,27361900,0.0000,1.0000
43.3887,43.0333,43.3305,25.4455,52.2036,43.0150,108.9792,109.8993,58.8747,-48.5401,40.2111,28.0314,5.6200,28.3700,28.6100,28.3300,28.3600,18.6177,41432300,0.0000,1.0000
169.0710,170.3350,170.5138,30.5345,45.8920,171.2317,43.5459,28.7200,58.7012,-31.2447,18.6337,20.3072,0.4700,56.0400,56.1900,55.4200,55.4800,51.9285,27334061,0.0000,1.0000
18.5951,18.4950,18.7133,34.3750,27.1644,18.6158,166.6498,28.1594,51.0577,-43.1298,37.7918,27.2064,1.5000,91.5000,91.6200,89.6900,90.1200,14.7423,13618400,0.0000,1.0000
41.8315,41.8683,41.8671,62.6210,15.4432,41.8842,18.1020,26.1574,55.3676,-56.9767,30.2591,47.4272,-0.0027,29.7300,29.8100,28.8200,28.8950,24.5077,46361900,0.0000,1.0000
170.2107,171.0017,171.2924,110.8242,49.3168,171.5125,41.4884,26.1149,57.9270,-0.7088,30.5716,65.5469,0.2100,27.0500,27.2700,26.8300,27.1200,22.5323,89681500,0.0000,1.0000
27.9498,28.0967,28.0019,43.5343,25.3429,28.0075,166.8334,96.9720,64.5657,-38.0952,37.4901,29.0665,4.0000,49.8900,52.6000,49.8600,51.9800,17.0064,48917200,0.0000,1.0000
55.9605,55.9517,56.0581,171.1702,30.5193,55.9433,28.1724,64.6693,66.0857,-73.2620,29.9081,18.8741,0.1400,25.2000,25.4100,25.1300,25.2800,18.6755,56394800,0.0000,1.0000
91.7420,92.3217,91.4538,18.9200,34.4545,91.7275,55.1286,26.8103,55.7633,-81.7362,42.1116,35.8032,1.0500,25.0700,25.2500,24.9100,24.9400,18.4243,47956300,0.0000,1.0000
29.3024,29.0983,29.2986,41.9131,62.2639,29.1125,94.6733,46.7155,48.7231,-61.4094,35.7471,31.9365,-4.5000,29.9100,30.1600,29.9000,30.1100,24.0536,34651200,0.0000,1.0000
26.4006,26.2458,26.4571,172.5243,111.4703,26.1658,29.2189,22.6526,61.3563,-7.5000,15.7658,34.9626,0.9700,43.2600,43.4500,43.0200,43.2000,38.8728,20351600,0.0000,1.0000
50.8746,50.8683,50.5686,28.1355,43.9162,50.6300,25.9434,19.7508,74.9127,-33.8824,40.3291,41.8810,1.0500,68.0500,69.9900,67.7500,68.7900,22.5061,51745800,0.0000,1.0000
25.3151,25.2383,25.2362,56.1990,170.1470,25.2458,51.7961,112.4915,37.5286,-58.2686,43.6861,39.9477,-1.7500,70.1900,70.4400,67.5000,67.8100,22.1855,30389200,0.0000,1.0000
24.5837,24.4617,24.6057,91.2910,18.8848,24.4100,25.2825,25.9771,24.1149,-23.6641,17.4768,43.5919,-0.4400,56.3200,56.6500,55.1100,55.3500,18.1089,40685500,0.0000,1.0000
